,winrate,champion_id
201,0.028255375020515346,201
81,0.027513540128015757,81
79,0.022064664368947974,79
412,0.021217790907598885,412
59,0.018545872312489744,59
111,0.01825701624815362,111
236,0.018000984736582962,236
64,0.016891514853110128,64
110,0.01666830789430494,110
223,0.016628918430986378,223
48,0.01659609387822091,48
497,0.01581486952240276,497
113,0.015742655506318728,113
12,0.015558838010832103,12
498,0.015178073198752667,498
134,0.01516494337764648,134
43,0.01490234695552273,43
516,0.01484982767109798,516
22,0.014613490891186607,22
61,0.014232726079107172,61
266,0.014186771705235517,266
60,0.014186771705235517,60
13,0.014055473494173642,13
421,0.013989824388642704,421
145,0.01327424913835549,145
104,0.013228294764483834,104
164,0.013162645658952896,164
268,0.013077301821762678,268
42,0.012703101920236336,42
58,0.012204168718201215,58
51,0.01161332676842278,51
429,0.011422944362383062,429
69,0.011114393566387657,69
142,0.011094698834728377,142
2,0.010937140981454128,2
3,0.010858362054817003,3
202,0.010845232233710816,202
41,0.010759888396520598,41
98,0.01074675857541441,98
15,0.010707369112095848,15
7,0.010300344657804038,7
8,0.01028721483669785,8
150,0.009998358772361727,150
523,0.009558509765304448,523
25,0.009387822090924012,25
126,0.009230264237649761,126
875,0.00921056950599048,875
163,0.009059576563269325,163
39,0.008895453799441982,39
517,0.008737895946167733,517
18,0.00873133103561464,18
121,0.007917282127031019,121
21,0.0078319382898408,21
57,0.00781224355818152,57
117,0.007746594452650583,117
78,0.007654685704907271,78
84,0.007497127851633021,84
76,0.007411784014442803,76
432,0.00717544723453143,432
112,0.006925980633513868,112
89,0.00671590349581487,89
85,0.006656819300837026,85
127,0.006650254390283932,127
14,0.006558345642540621,14
68,0.006525521089775152,68
203,0.006111931724930248,203
245,0.006033152798293123,245
6,0.005823075660594124,6
350,0.005599868701788938,350
72,0.00556704414902347,72
235,0.0055604792384703755,235
44,0.005094370589200722,44
106,0.004838339077630067,106
157,0.004805514524864599,157
90,0.004746430329886755,90
114,0.004733300508780568,114
31,0.004647956671590349,31
154,0.004516658460528475,154
50,0.004359100607254226,50
82,0.004345970786148038,82
56,0.0038732972263252913,56
4,0.003807648120794354,4
143,0.0037157393730510423,143
99,0.003696044641391761,99
518,0.003492532414245856,518
24,0.0033940587559494503,24
30,0.003348104382077794,30
555,0.0032496307237813884,555
120,0.0032168061710159197,120
240,0.003078943049400952,240
80,0.0030395535860823896,80
62,0.003013293943870015,62
38,0.0030001641227638274,38
96,0.0029739044805514527,96
40,0.0029345150172328904,40
5,0.0028426062694895783,5
26,0.0027703922534055474,26
267,0.002763827342852454,267
246,0.002763827342852454,246
107,0.0027506975217462663,107
53,0.002639094042343673,53
67,0.0026062694895782044,67
103,0.0026062694895782044,103
36,0.0024027572624322996,36
54,0.002363367799113737,54
115,0.0022714590513704253,115
238,0.002179550303627113,238
119,0.0019694731659281144,119
16,0.0019694731659281144,16
427,0.0018709995076317085,427
161,0.0016937469226981782,161
222,0.0016871820121450846,222
876,0.0016412276382734286,876
29,0.0016084030855079599,29
83,0.0014508452322337109,83
37,0.0012998522895125554,37
20,0.0012735926473001805,20
122,0.0012342031839816183,122
10,0.0012145084523223371,10
34,0.0011882488101099622,34
9,0.0011422944362383062,9
105,0.0010897751518135566,105
45,0.0010832102412604628,45
74,0.0010832102412604628,74
91,0.0009913014935171507,91
92,0.0009453471196454948,92
136,0.0009322172985393074,136
141,0.0008796980141145577,141
131,0.0007943541769243394,131
102,0.0007483998030526834,102
28,0.000735269981946496,28
133,0.0006958805186279337,133
101,0.00068931560807484,101
420,0.0006630559658624652,420
27,0.0005908419497784342,27
63,0.000551452486459872,63
254,0.00040702445429181025,254
360,0.0003807648120794354,360
33,0.0003741999015263417,33
777,0.0003348104382077794,777
55,0.00032168061710159196,55
19,0.00032168061710159196,19
86,0.00022977186935828,86
23,0.0001903824060397177,23
75,0.00017725258493353027,75
35,0.00011816838995568685,35
11,9.847365829640571e-05,11
1,9.847365829640571e-05,1
32,9.847365829640571e-05,32
17,7.221401608403086e-05,17
77,7.221401608403086e-05,77
147,6.564910553093715e-05,147
